fixture_id,group_name,kickoff_utc,home_team,away_team,status,home_score,away_score,stage,source,source_match_id,venue,updated_at
537427,,2026-07-03T22:00:00Z,Argentina,Cape Verde Islands,FINISHED,3.0,2.0,knockout,football-data.org,537427,,2026-08-25T03:58:36.515641+00:00
537430,,2026-07-04T01:30:00Z,Colombia,Ghana,FINISHED,1.0,0.0,knockout,football-data.org,537430,,2026-08-25T03:58:36.515860+00:00
537376,,2026-07-04T17:00:00Z,Canada,Morocco,FINISHED,0.0,3.0,knockout,football-data.org,537376,,2026-08-25T03:58:36.516074+00:00
537375,,2026-07-04T21:00:00Z,Paraguay,France,FINISHED,0.0,1.0,knockout,football-data.org,537375,,2026-08-25T03:58:36.516294+00:00
537377,,2026-07-05T20:00:00Z,Brazil,Norway,FINISHED,1.0,2.0,knockout,football-data.org,537377,,2026-08-25T03:58:36.516524+00:00
537378,,2026-07-06T01:00:00Z,Mexico,England,FINISHED,2.0,3.0,knockout,football-data.org,537378,,2026-08-25T03:58:36.516756+00:00
537379,,2026-07-06T19:00:00Z,Portugal,Spain,FINISHED,0.0,1.0,knockout,football-data.org,537379,,2026-08-25T03:58:36.516974+00:00
537380,,2026-07-07T00:00:00Z,United States,Belgium,FINISHED,1.0,4.0,knockout,football-data.org,537380,,2026-08-25T03:58:36.517193+00:00
537381,,2026-07-07T16:00:00Z,Argentina,Egypt,FINISHED,3.0,2.0,knockout,football-data.org,537381,,2026-08-25T03:58:36.517411+00:00
537382,,2026-07-07T20:00:00Z,Switzerland,Colombia,FINISHED,4.0,3.0,knockout,football-data.org,537382,,2026-08-25T03:58:36.517649+00:00
537383,,2026-07-09T20:00:00Z,France,Morocco,FINISHED,2.0,0.0,knockout,football-data.org,537383,,2026-08-25T03:58:36.517870+00:00
537384,,2026-07-10T19:00:00Z,Spain,Belgium,FINISHED,2.0,1.0,knockout,football-data.org,537384,,2026-08-25T03:58:36.518086+00:00
537385,,2026-07-11T21:00:00Z,Norway,England,FINISHED,1.0,2.0,knockout,football-data.org,537385,,2026-08-25T03:58:36.518300+00:00
537386,,2026-07-12T01:00:00Z,Argentina,Switzerland,FINISHED,3.0,1.0,knockout,football-data.org,537386,,2026-08-25T03:58:36.518531+00:00
537387,,2026-07-14T19:00:00Z,France,Spain,FINISHED,0.0,2.0,knockout,football-data.org,537387,,2026-08-25T03:58:36.518764+00:00
537388,,2026-07-15T19:00:00Z,England,Argentina,FINISHED,1.0,2.0,knockout,football-data.org,537388,,2026-08-25T03:58:36.518992+00:00
537389,,2026-07-18T21:00:00Z,France,England,FINISHED,4.0,6.0,knockout,football-data.org,537389,,2026-08-25T03:58:36.519208+00:00
537390,,2026-07-19T19:00:00Z,Spain,Argentina,FINISHED,1.0,0.0,knockout,football-data.org,537390,,2026-08-25T03:58:36.519423+00:00
