date,team,player,starter,minutes
2018-07-03,Sweden,Andreas Granqvist,True,90.0
2018-07-03,Sweden,Gustav Svensson,True,90.0
2018-07-03,Sweden,Mikael Lustig,True,81.66666666666667
2018-07-03,Sweden,Viktor Claesson,True,90.0
2018-07-03,Sweden,Isaac Kiese Thelin,False,0.0
2018-07-03,Sweden,Ludwig Augustinsson,True,90.0
2018-07-03,Sweden,Robin Olsen,True,90.0
2018-07-03,Sweden,Albin Ekdal,True,90.0
2018-07-03,Sweden,Emil Peter Forsberg,True,80.71666666666667
2018-07-03,Sweden,John Guidetti,False,0.0
2018-07-03,Sweden,Emil Krafth,False,8.333333333333329
2018-07-03,Sweden,Filip Helander,False,0.0
2018-07-03,Sweden,Marcus Rohdén,False,0.0
2018-07-03,Sweden,Kristoffer Nordfeldt,False,0.0
2018-07-03,Sweden,Marcus Berg,True,90.05
2018-07-03,Sweden,Jimmy Durmaz,False,0.0
2018-06-25,Portugal,Anthony Lopes,False,0.0
2018-06-25,Portugal,João Filipe Iria Santos Moutinho,False,6.38333333333334
2018-06-25,Portugal,Bernardo Mota Veiga de Carvalho e Silva,False,21.049999999999997
2018-06-25,Portugal,Cédric Ricardo Alves Soares,True,90.0
2018-06-25,Portugal,Adrien Sebastian Perruchet Silva,True,90.0
2018-06-25,Portugal,José Miguel da Rocha Fonte,True,89.33333333333333
2018-06-25,Portugal,João Mário Naval da Costa Eduardo,True,83.61666666666666
2018-06-25,Portugal,Gonçalo Manuel Ganchinho Guedes,False,0.0
2018-06-25,Portugal,Bruno Miguel Borges Fernandes,False,0.0
2018-06-25,Portugal,Rui Pedro dos Santos Patrício,True,90.0
2018-06-25,Portugal,Rúben Santos Gato Alves Dias,False,0.0
2018-06-25,Portugal,Cristiano Ronaldo dos Santos Aveiro,True,90.0
2018-06-25,Portugal,Raphaël Adelino José Guerreiro,True,90.0
2018-06-25,Portugal,William Silva de Carvalho,True,90.0
2018-06-25,Portugal,Ricardo Andrade Quaresma Bernardo,True,68.95
2018-06-25,Portugal,André Miguel Valente Silva,True,94.91666666666667
2018-06-25,Portugal,Gelson Dany Batalha Martins,False,0.0
2018-06-25,Portugal,Manuel Henrique Tavares Fernandes,False,0.0
2018-06-25,Portugal,Ricardo Domingos Barbosa Pereira,False,0.0
2018-06-25,Portugal,Mário Rui Silva Duarte,False,0.0
2018-06-25,Portugal,Bruno Eduardo Regufe Alves,False,0.0
2018-06-25,Portugal,Kléper Laveran Lima Ferreira,True,90.0
2018-06-25,Portugal,António Alberto Bastos Pimparel,False,0.0
2018-06-25,Iran,Morteza Pouraliganji,True,90.0
2018-06-25,Iran,Sardar Azmoun,True,90.0
2018-06-25,Iran,Omid Ebrahimi,True,90.0
2018-06-25,Iran,Mehdi Taremi,True,90.0
2018-06-25,Iran,Alireza Safar Beiranvand,True,90.0
2018-06-25,Iran,Seyed Majid Hosseini,True,90.0
2018-06-25,Iran,Ehsan Hajsafi,True,55.61666666666667
2018-06-25,Iran,Karim Ansarifard,False,14.733333333333334
2018-06-25,Iran,Ramin Rezaeian,True,90.0
2018-06-25,Iran,Masoud Shojaei Soleimani,False,0.0
2018-06-25,Iran,Alireza Jahanbakhsh,True,69.36666666666666
2018-06-25,Iran,Saman Ghoddos,False,20.63333333333334
2018-06-25,Iran,Vahid Amiri,True,90.0
2018-06-25,Iran,Milad Mohammadi,False,34.38333333333333
2018-06-25,Iran,Saeid Ezatolahi Afagh,True,75.26666666666667
2018-06-25,Iran,Reza Ghoochannejhad Nournia,False,0.0
2018-06-25,Iran,Amir Abedzadeh,False,0.0
2018-06-25,Iran,Ashkan Dejagah,False,0.0
2018-06-25,Iran,Mehdi Torabi,False,0.0
2018-06-25,Iran,Mohammad Rashid Mazaheri,False,0.0
2018-06-25,Iran,Pejman Montazeri,False,0.0
2018-06-25,Iran,Mohammad Reza Khanzadeh,False,0.0
2018-06-20,Portugal,Anthony Lopes,False,0.0
2018-06-20,Portugal,João Filipe Iria Santos Moutinho,True,88.01666666666667
2018-06-20,Portugal,Bernardo Mota Veiga de Carvalho e Silva,True,58.483333333333334
2018-06-20,Portugal,Cédric Ricardo Alves Soares,True,90.0
2018-06-20,Portugal,Adrien Sebastian Perruchet Silva,False,1.9833333333333343
2018-06-20,Portugal,José Miguel da Rocha Fonte,True,90.0
2018-06-20,Portugal,João Mário Naval da Costa Eduardo,True,69.2
2018-06-20,Portugal,Gonçalo Manuel Ganchinho Guedes,True,90.0
2018-06-20,Portugal,Bruno Miguel Borges Fernandes,False,20.799999999999997
2018-06-20,Portugal,Rui Pedro dos Santos Patrício,True,90.0
2018-06-20,Portugal,Rúben Santos Gato Alves Dias,False,0.0
2018-06-20,Portugal,Cristiano Ronaldo dos Santos Aveiro,True,90.0
2018-06-20,Portugal,Raphaël Adelino José Guerreiro,True,90.0
2018-06-20,Portugal,William Silva de Carvalho,True,90.0
2018-06-20,Portugal,Ricardo Andrade Quaresma Bernardo,False,0.0
